Year,Month,Day,WeekDay,Hour,WateringMinutes,Zone,Timestamp
2023,7,9,6,12,0.18333333333333332,Zone 1,2023-07-09 12:24:17-07:00
2023,7,9,6,12,0.7666666666666667,Zone 2,2023-07-09 12:25:26-07:00
2023,7,9,6,12,0.35,Zone 3,2023-07-09 12:27:22-07:00
2023,7,9,6,12,0.2833333333333333,Zone 4,2023-07-09 12:29:33-07:00
2023,7,9,6,12,0.25,Zone 5,2023-07-09 12:31:52-07:00
2023,7,9,6,12,0.6666666666666666,Zone 6,2023-07-09 12:34:12-07:00
2023,7,9,6,12,0.18333333333333332,Zone 7,2023-07-09 12:36:07-07:00
2023,7,9,6,12,0.9333333333333333,Zone 8,2023-07-09 12:37:08-07:00
2023,7,9,6,12,0.11666666666666667,Front Yard,2023-07-09 12:43:32-07:00
2023,7,10,0,1,26.566666666666666,Front Yard,2023-07-10 01:33:26-07:00
2023,7,10,0,2,23.433333333333334,Front Yard,2023-07-10 02:00:00-07:00
2023,7,11,1,1,25.566666666666666,Front Yard,2023-07-11 01:34:26-07:00
2023,7,11,1,2,24.433333333333334,Front Yard,2023-07-11 02:00:00-07:00
2023,7,15,5,20,28.983333333333334,Front Yard,2023-07-15 20:31:01-07:00
2023,7,15,5,21,20.666666666666668,Front Yard,2023-07-15 21:00:00-07:00
2023,7,19,2,22,31.6,Front Yard,2023-07-19 22:28:24-07:00
2023,7,19,2,23,32.05,Front Yard,2023-07-19 23:00:00-07:00
2023,7,26,2,20,36.983333333333334,Front Yard,2023-07-26 20:23:01-07:00
2023,7,26,2,21,26.666666666666668,Front Yard,2023-07-26 21:00:00-07:00
2023,8,2,2,20,37.63333333333333,Front Yard,2023-08-02 20:22:22-07:00
2023,8,2,2,21,25.966666666666665,Front Yard,2023-08-02 21:00:00-07:00
2023,8,10,3,20,51.983333333333334,Front Yard,2023-08-10 20:08:01-07:00
2023,8,10,3,21,11.666666666666666,Front Yard,2023-08-10 21:00:00-07:00
2023,8,18,4,19,2.9833333333333334,Front Yard,2023-08-18 19:57:01-07:00
2023,8,18,4,20,60.0,Front Yard,2023-08-18 20:00:00-07:00
2023,8,18,4,21,0.6666666666666666,Front Yard,2023-08-18 21:00:00-07:00
2023,8,26,5,19,7.633333333333334,Front Yard,2023-08-26 19:52:22-07:00
2023,8,26,5,20,55.96666666666667,Front Yard,2023-08-26 20:00:00-07:00
2023,9,3,6,19,25.983333333333334,Front Yard,2023-09-03 19:34:01-07:00
2023,9,3,6,20,37.666666666666664,Front Yard,2023-09-03 20:00:00-07:00
2023,9,14,3,19,42.983333333333334,Front Yard,2023-09-14 19:17:01-07:00
2023,9,14,3,20,20.683333333333334,Front Yard,2023-09-14 20:00:00-07:00
2023,9,25,0,19,54.63333333333333,Front Yard,2023-09-25 19:05:22-07:00
2023,9,25,0,20,8.966666666666667,Front Yard,2023-09-25 20:00:00-07:00
2023,10,6,4,18,17.983333333333334,Front Yard,2023-10-06 18:42:01-07:00
2023,10,6,4,19,45.666666666666664,Front Yard,2023-10-06 19:00:00-07:00
2023,10,21,5,18,32.63333333333333,Front Yard,2023-10-21 18:27:22-07:00
2023,10,21,5,19,30.966666666666665,Front Yard,2023-10-21 19:00:00-07:00
2023,11,5,6,18,56.983333333333334,Front Yard,2023-11-05 18:03:01-08:00
2023,11,5,6,19,6.666666666666667,Front Yard,2023-11-05 19:00:00-08:00
2023,11,26,6,16,11.983333333333333,Front Yard,2023-11-26 16:48:01-08:00
2023,11,26,6,17,51.666666666666664,Front Yard,2023-11-26 17:00:00-08:00
2023,12,17,6,16,11.983333333333333,Front Yard,2023-12-17 16:48:01-08:00
2023,12,17,6,17,51.666666666666664,Front Yard,2023-12-17 17:00:00-08:00
2024,1,7,6,17,57.96666666666667,Front Yard,2024-01-07 17:02:02-08:00
2024,1,7,6,18,5.666666666666667,Front Yard,2024-01-07 18:00:00-08:00
2024,4,19,4,19,11.983333333333333,Front Yard,2024-04-19 19:48:01-07:00
2024,4,19,4,20,53.666666666666664,Front Yard,2024-04-19 20:00:00-07:00
2024,5,2,3,20,58.983333333333334,Front Yard,2024-05-02 20:01:01-07:00
2024,5,2,3,21,6.666666666666667,Front Yard,2024-05-02 21:00:00-07:00
2024,5,12,6,20,49.983333333333334,Front Yard,2024-05-12 20:10:01-07:00
2024,5,12,6,21,15.666666666666666,Front Yard,2024-05-12 21:00:00-07:00
2024,5,22,2,20,32.63333333333333,Front Yard,2024-05-22 20:27:22-07:00
2024,5,22,2,21,32.96666666666667,Front Yard,2024-05-22 21:00:00-07:00
2024,6,1,5,23,3.6,Front Yard,2024-06-01 23:56:24-07:00
2024,6,2,6,0,36.05,Front Yard,2024-06-02 00:00:00-07:00
2024,6,9,6,20,20.633333333333333,Front Yard,2024-06-09 20:39:22-07:00
2024,6,9,6,21,18.966666666666665,Front Yard,2024-06-09 21:00:00-07:00
2024,6,17,0,20,25.983333333333334,Front Yard,2024-06-17 20:34:01-07:00
2024,6,17,0,21,13.666666666666666,Front Yard,2024-06-17 21:00:00-07:00
2024,6,25,1,20,24.983333333333334,Front Yard,2024-06-25 20:35:01-07:00
2024,6,25,1,21,14.666666666666666,Front Yard,2024-06-25 21:00:00-07:00
2024,7,3,2,20,16.666666666666668,Front Yard,2024-07-03 20:43:20-07:00
2024,7,3,2,21,22.983333333333334,Front Yard,2024-07-03 21:00:00-07:00
2024,7,10,2,20,26.983333333333334,Front Yard,2024-07-10 20:33:01-07:00
2024,7,10,2,21,12.666666666666666,Front Yard,2024-07-10 21:00:00-07:00
2024,7,17,2,20,30.983333333333334,Front Yard,2024-07-17 20:29:01-07:00
2024,7,17,2,21,8.683333333333334,Front Yard,2024-07-17 21:00:00-07:00
2024,7,24,2,20,27.633333333333333,Front Yard,2024-07-24 20:32:22-07:00
2024,7,24,2,21,11.966666666666667,Front Yard,2024-07-24 21:00:00-07:00
2024,7,31,2,23,11.6,Front Yard,2024-07-31 23:48:24-07:00
2024,8,1,3,0,28.05,Front Yard,2024-08-01 00:00:00-07:00
2024,8,7,2,20,39.65,Front Yard,2024-08-07 20:10:01-07:00
2024,8,15,3,20,39.65,Front Yard,2024-08-15 20:00:01-07:00
